base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,rate
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1670967656389853
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.15382660960314692
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.10029922495757171
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.3330082750523886
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.07810792434160019
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.15092879218237065
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.12619438348671336
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1094514572856593
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.4630850298412912
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.19962437820187628
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.10167885642360622
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1192562418010836
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.2687060040399544
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.157944646596637
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.11001160456973152
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.26767787472467025
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.33142877220612366
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.47631839646963403
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.16332484259860414
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.15340139011113635
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.18609970804597287
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.40369714663812517
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.09611564321811086
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.13014161973573035
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.4887537132924533
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.09142895283915328
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.30822979193531475
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1186163337146913
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1417845780217579
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.227238206857446
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.08370457818869934
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.13352300110635165
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.08206234598631398
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.2228718507179767
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.08911917291462379
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.18284517283312857
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.11094669669965161
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.0762353982145668
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.10449897850848688
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.19003417435702036
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.17074334813386188
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.13146417863502047
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.2589686552035182
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.42515812267745123
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.2697479787352751
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1851292523685365
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.11044287778487191
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.38298564820654546
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1711264874084118
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.13551907486319897
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.12796433496269213
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.08750288289738331
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.10305068220712574
